acceleration - x: -0.984893798828125, y: 0.0481414794921875, z: -0.102020263671875
acceleration - x: -0.989105224609375, y: 0.0453643798828125, z: -0.09356689453125
acceleration - x: -0.989105224609375, y: 0.0453643798828125, z: -0.09356689453125
acceleration - x: -0.989990234375, y: 0.0535430908203125, z: -0.09686279296875
acceleration - x: -0.9868316650390625, y: 0.05706787109375, z: -0.1014862060546875
acceleration - x: -0.9855194091796875, y: 0.048431396484375, z: -0.097320556640625
acceleration - x: -0.9903717041015625, y: 0.043609619140625, z: -0.09442138671875
acceleration - x: -0.98712158203125, y: 0.040283203125, z: -0.097564697265625
acceleration - x: -0.9884033203125, y: 0.056243896484375, z: -0.09600830078125
acceleration - x: -0.990142822265625, y: 0.0595550537109375, z: -0.100250244140625
acceleration - x: -0.985107421875, y: 0.045654296875, z: -0.0946502685546875
acceleration - x: -0.990509033203125, y: 0.0470123291015625, z: -0.0931396484375
acceleration - x: -0.9880828857421875, y: 0.0464019775390625, z: -0.092315673828125
acceleration - x: -0.986297607421875, y: 0.04669189453125, z: -0.0937957763671875
acceleration - x: -0.9896697998046875, y: 0.0509796142578125, z: -0.0940704345703125
acceleration - x: -0.984832763671875, y: 0.043304443359375, z: -0.093536376953125
acceleration - x: -0.9879150390625, y: 0.0475006103515625, z: -0.0980377197265625
acceleration - x: -0.993133544921875, y: 0.0525054931640625, z: -0.099029541015625
acceleration - x: -0.9827880859375, y: 0.041107177734375, z: -0.09515380859375
acceleration - x: -0.9894866943359375, y: 0.040374755859375, z: -0.0943145751953125
acceleration - x: -0.99017333984375, y: 0.0493927001953125, z: -0.095458984375
acceleration - x: -0.9847564697265625, y: 0.0556182861328125, z: -0.0961761474609375
acceleration - x: -0.9898223876953125, y: 0.053619384765625, z: -0.095733642578125
acceleration - x: -0.9889678955078125, y: 0.04827880859375, z: -0.096343994140625
acceleration - x: -0.9869537353515625, y: 0.050628662109375, z: -0.097412109375
acceleration - x: -0.9868316650390625, y: 0.055816650390625, z: -0.101837158203125
acceleration - x: -0.9850311279296875, y: 0.05224609375, z: -0.0980072021484375
acceleration - x: -0.9882965087890625, y: 0.0398712158203125, z: -0.098419189453125
acceleration - x: -0.988555908203125, y: 0.03546142578125, z: -0.09649658203125
acceleration - x: -0.9871978759765625, y: 0.0415191650390625, z: -0.0960845947265625
acceleration - x: -0.988128662109375, y: 0.0508575439453125, z: -0.0971221923828125
acceleration - x: -0.988250732421875, y: 0.05072021484375, z: -0.0937347412109375
acceleration - x: -0.9901275634765625, y: 0.050201416015625, z: -0.0935821533203125
acceleration - x: -0.9912109375, y: 0.057373046875, z: -0.091552734375
acceleration - x: -0.987213134765625, y: 0.0565032958984375, z: -0.0959320068359375
acceleration - x: -0.986053466796875, y: 0.050933837890625, z: -0.09808349609375
acceleration - x: -0.991912841796875, y: 0.0527191162109375, z: -0.09765625
acceleration - x: -0.983856201171875, y: 0.0409698486328125, z: -0.0924072265625
acceleration - x: -0.9914093017578125, y: 0.0384979248046875, z: -0.096099853515625
acceleration - x: -0.9913482666015625, y: 0.05670166015625, z: -0.098663330078125
acceleration - x: -0.9813385009765625, y: 0.0566253662109375, z: -0.0979156494140625
acceleration - x: -0.98681640625, y: 0.0384063720703125, z: -0.092498779296875
acceleration - x: -0.993438720703125, y: 0.045196533203125, z: -0.0960693359375
acceleration - x: -0.984100341796875, y: 0.0559539794921875, z: -0.1014862060546875
acceleration - x: -0.989532470703125, y: 0.057647705078125, z: -0.0976409912109375
acceleration - x: -0.9884033203125, y: 0.0476837158203125, z: -0.096282958984375
acceleration - x: -0.9865570068359375, y: 0.0435333251953125, z: -0.08990478515625
acceleration - x: -0.9895782470703125, y: 0.0505828857421875, z: -0.0940093994140625
acceleration - x: -0.9871673583984375, y: 0.052276611328125, z: -0.096832275390625
acceleration - x: -0.9879302978515625, y: 0.0560150146484375, z: -0.0991668701171875
acceleration - x: -0.9898834228515625, y: 0.0494384765625, z: -0.098968505859375
acceleration - x: -0.98455810546875, y: 0.03564453125, z: -0.0970611572265625
acceleration - x: -0.9875946044921875, y: 0.054595947265625, z: -0.1018524169921875
acceleration - x: -0.9875946044921875, y: 0.054595947265625, z: -0.1018524169921875
acceleration - x: -0.9862060546875, y: 0.052825927734375, z: -0.1007080078125
acceleration - x: -0.98834228515625, y: 0.0415191650390625, z: -0.0917816162109375
acceleration - x: -0.9885101318359375, y: 0.0506134033203125, z: -0.095428466796875
acceleration - x: -0.9885101318359375, y: 0.0506134033203125, z: -0.095428466796875
acceleration - x: -0.98284912109375, y: 0.0449371337890625, z: -0.0991058349609375
acceleration - x: -0.9910736083984375, y: 0.0420989990234375, z: -0.097930908203125
acceleration - x: -0.9854278564453125, y: 0.0396881103515625, z: -0.0946044921875
acceleration - x: -0.9854278564453125, y: 0.0396881103515625, z: -0.0946044921875
acceleration - x: -0.995269775390625, y: 0.0651397705078125, z: -0.0966796875
