session state change to: 2 from 1
acceleration - x: -0.80828857421875, y: 0.11077880859375, z: 0.7030792236328125
acceleration - x: -0.8184814453125, y: 0.1262664794921875, z: 0.6738739013671875
acceleration - x: -0.8156280517578125, y: 0.131988525390625, z: 0.6300811767578125
acceleration - x: -0.7836456298828125, y: 0.136505126953125, z: 0.5964508056640625
acceleration - x: -0.7503204345703125, y: 0.1441650390625, z: 0.570587158203125
acceleration - x: -0.7434539794921875, y: 0.177093505859375, z: 0.5196685791015625
acceleration - x: -0.7356719970703125, y: 0.255035400390625, z: 0.3915557861328125
acceleration - x: -0.759796142578125, y: 0.3285980224609375, z: 0.3152008056640625
acceleration - x: -0.8272857666015625, y: 0.357696533203125, z: 0.3451995849609375
acceleration - x: -0.84246826171875, y: 0.31573486328125, z: 0.343597412109375
acceleration - x: -0.7818145751953125, y: 0.2491607666015625, z: 0.3075408935546875
acceleration - x: -0.708892822265625, y: 0.2668609619140625, z: 0.1568450927734375
acceleration - x: -0.7256011962890625, y: 0.379486083984375, z: 0.0370635986328125
acceleration - x: -0.8191375732421875, y: 0.524169921875, z: -0.0205841064453125
acceleration - x: -0.8143768310546875, y: 0.5879974365234375, z: 0.006683349609375
acceleration - x: -0.6852569580078125, y: 0.4283905029296875, z: 0.0916595458984375
acceleration - x: -0.585723876953125, y: 0.234710693359375, z: 0.06964111328125
acceleration - x: -0.5315399169921875, y: 0.3130035400390625, z: -0.246978759765625
acceleration - x: -0.502166748046875, y: 0.6725616455078125, z: -0.5229339599609375
acceleration - x: -0.5462188720703125, y: 0.98138427734375, z: -0.4556121826171875
acceleration - x: -0.6363067626953125, y: 1.0036163330078125, z: -0.2818145751953125
acceleration - x: -0.5545654296875, y: 0.616058349609375, z: -0.102203369140625
acceleration - x: -0.437225341796875, y: 0.260894775390625, z: -0.05120849609375
acceleration - x: -0.345672607421875, y: 0.2378997802734375, z: -0.4766845703125
acceleration - x: -0.2159576416015625, y: 0.6722259521484375, z: -0.838470458984375
acceleration - x: -0.225311279296875, y: 1.149810791015625, z: -0.821044921875
acceleration - x: -0.4555511474609375, y: 1.226654052734375, z: -0.698150634765625
acceleration - x: -0.3073883056640625, y: 0.325225830078125, z: -0.28631591796875
acceleration - x: -0.3073883056640625, y: 0.325225830078125, z: -0.28631591796875
acceleration - x: -0.1436309814453125, y: 0.044036865234375, z: -0.3743743896484375
acceleration - x: 0.048858642578125, y: 0.5744781494140625, z: -0.90142822265625
acceleration - x: -0.07861328125, y: 0.9922637939453125, z: -0.9977569580078125
acceleration - x: -0.07861328125, y: 0.9922637939453125, z: -0.9977569580078125
acceleration - x: -0.2087249755859375, y: 1.1394805908203125, z: -0.9614105224609375
acceleration - x: 0.05694580078125, y: 0.196319580078125, z: -1.0246124267578125
acceleration - x: 0.16900634765625, y: 0.3307952880859375, z: -1.15380859375
acceleration - x: 0.16900634765625, y: 0.3307952880859375, z: -1.15380859375
acceleration - x: 0.093231201171875, y: 0.8284454345703125, z: -1.3017578125
acceleration - x: 0.0472412109375, y: 0.6291046142578125, z: -1.2196807861328125
acceleration - x: 0.1206817626953125, y: 0.4058837890625, z: -1.1955108642578125
acceleration - x: 0.224853515625, y: 0.384124755859375, z: -1.29766845703125
acceleration - x: 0.26580810546875, y: 0.5875091552734375, z: -1.32879638671875
acceleration - x: 0.2109832763671875, y: 0.791046142578125, z: -1.3054962158203125
acceleration - x: 0.1413726806640625, y: 0.7773590087890625, z: -1.21966552734375
acceleration - x: 0.095458984375, y: 0.603851318359375, z: -1.178192138671875
acceleration - x: 0.0664520263671875, y: 0.5660400390625, z: -1.140716552734375
acceleration - x: 0.0281219482421875, y: 0.691619873046875, z: -1.1620635986328125
acceleration - x: -0.021209716796875, y: 0.8382720947265625, z: -1.161651611328125
acceleration - x: -0.0626983642578125, y: 0.8308868408203125, z: -1.0821990966796875
acceleration - x: -0.069549560546875, y: 0.7235565185546875, z: -1.0048675537109375
acceleration - x: -0.0686798095703125, y: 0.6274871826171875, z: -0.9119415283203125
acceleration - x: -0.0816802978515625, y: 0.6057586669921875, z: -0.8472442626953125
acceleration - x: -0.1111602783203125, y: 0.6773223876953125, z: -0.8412933349609375
acceleration - x: -0.138427734375, y: 0.70343017578125, z: -0.7425689697265625
acceleration - x: -0.15911865234375, y: 0.6423187255859375, z: -0.6752166748046875
acceleration - x: -0.193359375, y: 0.5675048828125, z: -0.66015625
acceleration - x: -0.218780517578125, y: 0.5665435791015625, z: -0.6352081298828125
acceleration - x: -0.255096435546875, y: 0.5862579345703125, z: -0.58782958984375
acceleration - x: -0.3043975830078125, y: 0.58026123046875, z: -0.5544586181640625
acceleration - x: -0.36199951171875, y: 0.509765625, z: -0.433013916015625
